Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
184,1658741482805,25/07/2022 09:31:22,1658741482474,1,25/07/2022 10:31:22,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,23,22,1,Screen 1,button,timelimit_screen,999.8269999999902,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
185,1658741483500,25/07/2022 09:31:23,1658741483473,1,25/07/2022 10:31:23,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,23,22,2,Screen 2,button,timelimit_screen,1000.2909999999974,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
186,1658741484698,25/07/2022 09:31:24,1658741484673,1,25/07/2022 10:31:24,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,23,22,3,TEST,gosignal,gonogo,1200.1359999999986,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
187,1658741484902,25/07/2022 09:31:24,1658741484873,1,25/07/2022 10:31:24,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,23,22,6,IsTrue,button,timelimit_screen,199.94000000000233,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
188,1658741485903,25/07/2022 09:31:25,1658741485873,1,25/07/2022 10:31:25,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,13,24,1,Screen 1,button,timelimit_screen,1000.130999999994,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
189,1658741486899,25/07/2022 09:31:26,1658741486873,1,25/07/2022 10:31:26,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,13,24,2,Screen 2,button,timelimit_screen,1000.012000000017,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
190,1658741487586,25/07/2022 09:31:27,1658741487561,1,25/07/2022 10:31:27,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,13,24,3,TEST,Zone2,response_keyboard_single,678,,,Right,1,1,0,0,,,,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
191,1658741488298,25/07/2022 09:31:28,1658741488273,1,25/07/2022 10:31:28,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,13,24,6,IsTrue,button,timelimit_screen,200.02899999998044,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
192,1658741489297,25/07/2022 09:31:29,1658741489274,1,25/07/2022 10:31:29,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,19,23,1,Screen 1,button,timelimit_screen,1000.0400000000081,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
193,1658741490300,25/07/2022 09:31:30,1658741490274,1,25/07/2022 10:31:30,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,19,23,2,Screen 2,button,timelimit_screen,1000.06700000001,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
194,1658741491501,25/07/2022 09:31:31,1658741491474,1,25/07/2022 10:31:31,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,19,23,3,TEST,gosignal,gonogo,1200.0199999999895,,,NoGo,,1,0,0,,,,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
195,1658741491699,25/07/2022 09:31:31,1658741491674,1,25/07/2022 10:31:31,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,19,23,6,IsTrue,button,timelimit_screen,199.95800000001327,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
196,1658741492698,25/07/2022 09:31:32,1658741492674,1,25/07/2022 10:31:32,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,24,24,1,Screen 1,button,timelimit_screen,1000.1109999999753,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
197,1658741493699,25/07/2022 09:31:33,1658741493674,1,25/07/2022 10:31:33,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,24,24,2,Screen 2,button,timelimit_screen,1000.0500000000175,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
