Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
188,1659004635185,28/07/2022 10:37:15,1659004635156,1,28/07/2022 11:37:15,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,53,21,3,TEST,Zone2,response_keyboard_single,701.0999999996275,,,Right,1,1,0,0,,,,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
189,1659004635871,28/07/2022 10:37:15,1659004635845,1,28/07/2022 11:37:15,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,53,21,6,IsTrue,button,timelimit_screen,200.04800000000978,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
190,1659004636866,28/07/2022 10:37:16,1659004636845,1,28/07/2022 11:37:16,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,46,22,1,Screen 1,button,timelimit_screen,999.9910000000091,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,150,Right_go.png,NoGo
191,1659004637866,28/07/2022 10:37:17,1659004637845,1,28/07/2022 11:37:17,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,46,22,2,Screen 2,button,timelimit_screen,999.8859999999986,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,150,Right_go.png,NoGo
192,1659004638593,28/07/2022 10:37:18,1659004638563,1,28/07/2022 11:37:18,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,46,22,3,TEST,Zone2,response_keyboard_single,709.6999999992549,,,Right,1,1,0,0,,,,,1,taskGo,Right_go.png,Right,150,Right_go.png,NoGo
193,1659004639215,28/07/2022 10:37:19,1659004639195,1,28/07/2022 11:37:19,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,46,22,6,IsTrue,button,timelimit_screen,199.82000000000698,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,150,Right_go.png,NoGo
194,1659004640215,28/07/2022 10:37:20,1659004640195,1,28/07/2022 11:37:20,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,57,23,1,Screen 1,button,timelimit_screen,1000.2589999999909,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
195,1659004641221,28/07/2022 10:37:21,1659004641195,1,28/07/2022 11:37:21,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,57,23,2,Screen 2,button,timelimit_screen,999.8000000000175,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
196,1659004641998,28/07/2022 10:37:21,1659004641972,1,28/07/2022 11:37:21,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,57,23,3,TEST,Zone1,response_keyboard_single,769.7000000001863,,,Left,1,1,0,0,,,,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
197,1659004642618,28/07/2022 10:37:22,1659004642595,1,28/07/2022 11:37:22,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,57,23,6,IsTrue,button,timelimit_screen,199.94099999999162,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
198,1659004643615,28/07/2022 10:37:23,1659004643595,1,28/07/2022 11:37:23,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,9,26,1,Screen 1,button,timelimit_screen,1000.0380000000005,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
199,1659004644622,28/07/2022 10:37:24,1659004644595,1,28/07/2022 11:37:24,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,9,26,2,Screen 2,button,timelimit_screen,1000.1030000000028,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
200,1659004645826,28/07/2022 10:37:25,1659004645796,1,28/07/2022 11:37:25,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,9,26,3,TEST,gosignal,gonogo,1200.0530000000144,,,NoGo,,1,0,0,,,,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
